Movimentação na conta,Duração em meses,Histórico de pagamentos,Finalidade do crédito,Valor do crédito,Saldo em conta poupança/títulos,Emprego atual desde,Comprometimento de Renda,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Bem/Propriedade Principal,Idade em anos,Parcelamento com terceiros,Forma de Moradia,Número de créditos existentes neste banco,Emprego,Número de dependentes,Possui Telefone,Trabalhador estrangeiro,Target
>= 0 < 200 $,60,pgto em atraso no passado,radio ou televisao,7418,n/há,< 4 anos,1,masc-solteiro,n/há,1,imovel,27,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
n/há,24,conta critica / dividas com terceiros,radio ou televisao,2684,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,imovel,35,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
< 0 $,12,pgto em dia neste banco (quitado),radio ou televisao,2149,< 100 $,< 4 anos,4,masc-divorciado,n/há,1,n/há,29,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,15,pgto em dia neste banco (em aberto),carro usado,3812,>= 100 < 500 $,< 1 ano,1,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,23,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,11,conta critica / dividas com terceiros,radio ou televisao,1154,>= 100 < 500 $,desempregado,4,femi-divorciadaoucasada,n/há,4,imovel,57,n/há,própria,3,empregado-semformacao-residente,1,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1657,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,imovel,27,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),radio ou televisao,1603,< 100 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,55,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,18,conta critica / dividas com terceiros,carro novo,5302,< 100 $,>= 7 anos,2,masc-solteiro,n/há,4,n/há,36,n/há,gratuita,3,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,12,conta critica / dividas com terceiros,educacao,2748,< 100 $,>= 7 anos,2,femi-divorciadaoucasada,n/há,4,n/há,57,banco,gratuita,3,empregado-semformacao-residente,1,não,sim,1
n/há,10,conta critica / dividas com terceiros,carro novo,1231,< 100 $,>= 7 anos,3,masc-solteiro,n/há,4,imovel,32,n/há,própria,2,empregado-semformacao-residente,2,não,não,1
>= 0 < 200 $,15,pgto em dia neste banco (em aberto),radio ou televisao,802,< 100 $,>= 7 anos,4,masc-solteiro,n/há,3,carro ou outros-quitado,37,n/há,própria,1,empregado-formadoouservidorpublico,2,não,sim,2
n/há,36,conta critica / dividas com terceiros,negocios,6304,n/há,>= 7 anos,4,masc-solteiro,n/há,4,imovel,36,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,1533,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,38,loja,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,14,pgto em dia neste banco (em aberto),carro novo,8978,< 100 $,>= 7 anos,1,masc-divorciado,n/há,4,poupança ou seguro de vida,45,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,não,2
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,999,n/há,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,25,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,pgto em dia neste banco (em aberto),carro novo,2662,n/há,< 7 anos,4,masc-solteiro,n/há,3,poupança ou seguro de vida,32,n/há,própria,1,empregado-formadoouservidorpublico,1,não,não,1
n/há,12,conta critica / dividas com terceiros,moveis e equipamentos,1402,>= 500 < 1000 $,< 7 anos,3,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,37,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,48,pgto em dia neste banco (quitado),carro novo,12169,n/há,desempregado,4,masc-solteiro,codevedor,4,n/há,36,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,48,pgto em dia neste banco (em aberto),radio ou televisao,3060,< 100 $,< 7 anos,4,masc-solteiro,n/há,4,imovel,28,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,30,pgto em dia neste banco (em aberto),reparos,11998,< 100 $,< 1 ano,1,masc-divorciado,n/há,1,n/há,34,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,2
n/há,9,pgto em dia neste banco (em aberto),radio ou televisao,2697,< 100 $,< 4 anos,1,masc-solteiro,n/há,2,imovel,32,n/há,própria,1,empregado-formadoouservidorpublico,2,não,sim,1
n/há,18,conta critica / dividas com terceiros,radio ou televisao,2404,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,26,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1262,n/há,>= 7 anos,2,masc-divorciado,n/há,4,poupança ou seguro de vida,49,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,1
n/há,6,pgto em dia neste banco (em aberto),moveis e equipamentos,4611,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,32,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,1901,>= 100 < 500 $,< 4 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,29,n/há,aluguel,1,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,15,conta critica / dividas com terceiros,carro usado,3368,>= 1000 $,>= 7 anos,3,masc-solteiro,n/há,4,n/há,23,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1574,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,imovel,50,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,18,pgto em dia neste banco (quitado),radio ou televisao,1445,n/há,< 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,49,banco,própria,1,empregado-semformacao-residente,1,não,sim,1
n/há,15,conta critica / dividas com terceiros,moveis e equipamentos,1520,n/há,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,63,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,24,conta critica / dividas com terceiros,carro novo,3878,>= 100 < 500 $,< 1 ano,4,masc-divorciado,n/há,2,carro ou outros-quitado,37,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,47,pgto em dia neste banco (em aberto),carro novo,10722,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,1,imovel,35,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,1
< 0 $,48,pgto em dia neste banco (em aberto),carro usado,4788,< 100 $,< 7 anos,4,masc-solteiro,n/há,3,poupança ou seguro de vida,26,n/há,própria,1,empregado-formadoouservidorpublico,2,não,sim,1
>= 0 < 200 $,48,pgto em atraso no passado,outros,7582,>= 100 < 500 $,desempregado,2,masc-solteiro,n/há,4,n/há,31,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1092,< 100 $,< 4 anos,4,femi-divorciadaoucasada,garantidor,4,imovel,49,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,24,pgto em atraso no passado,radio ou televisao,1024,< 100 $,< 1 ano,4,masc-casadoouviuvo,n/há,4,imovel,48,loja,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,12,pgto em dia neste banco (em aberto),negocios,1076,< 100 $,< 4 anos,2,masc-casadoouviuvo,n/há,2,imovel,26,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,não,1
>= 0 < 200 $,36,pgto em dia neste banco (em aberto),carro usado,9398,< 100 $,< 1 ano,1,masc-casadoouviuvo,n/há,4,carro ou outros-quitado,28,n/há,aluguel,1,empresario-gerente-altaqualificacao,1,sim,sim,2
< 0 $,24,conta critica / dividas com terceiros,carro usado,6419,< 100 $,>= 7 anos,2,femi-divorciadaoucasada,n/há,4,n/há,44,n/há,gratuita,2,empresario-gerente-altaqualificacao,2,sim,sim,1
>= 200 $,42,conta critica / dividas com terceiros,carro usado,4796,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,56,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,48,conta critica / dividas com terceiros,negocios,7629,n/há,>= 7 anos,4,masc-divorciado,n/há,2,carro ou outros-quitado,46,banco,própria,2,empresario-gerente-altaqualificacao,2,não,sim,1
>= 0 < 200 $,48,pgto em dia neste banco (em aberto),moveis e equipamentos,9960,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,26,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,12,pgto em dia neste banco (em aberto),carro usado,4675,n/há,< 1 ano,1,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,20,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,10,pgto em dia neste banco (em aberto),carro novo,1287,n/há,>= 7 anos,4,masc-solteiro,codevedor,2,poupança ou seguro de vida,45,n/há,própria,1,empregado-semformacao-residente,1,não,não,1
n/há,18,pgto em dia neste banco (em aberto),moveis e equipamentos,2515,< 100 $,< 4 anos,3,masc-solteiro,n/há,4,imovel,43,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,21,conta critica / dividas com terceiros,moveis e equipamentos,2745,>= 1000 $,< 7 anos,3,masc-solteiro,n/há,2,carro ou outros-quitado,32,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,6,pgto em dia neste banco (em aberto),carro novo,672,< 100 $,desempregado,1,femi-divorciadaoucasada,n/há,4,imovel,54,n/há,própria,1,desempregado-semformacao-naoresidente,1,sim,sim,1
>= 0 < 200 $,36,nenhum/pgto em dia,radio ou televisao,3804,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,1,carro ou outros-quitado,42,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
>= 200 $,24,conta critica / dividas com terceiros,carro novo,1344,n/há,< 7 anos,4,masc-solteiro,n/há,2,imovel,37,banco,própria,2,empregado-semformacao-residente,2,não,sim,2
< 0 $,10,conta critica / dividas com terceiros,carro novo,1038,< 100 $,< 7 anos,4,masc-solteiro,codevedor,3,poupança ou seguro de vida,49,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,48,conta critica / dividas com terceiros,carro novo,10127,>= 500 < 1000 $,< 4 anos,2,masc-solteiro,n/há,2,n/há,44,banco,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,6,pgto em dia neste banco (em aberto),moveis e equipamentos,1543,>= 1000 $,< 4 anos,4,masc-divorciado,n/há,2,imovel,33,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,30,pgto em dia neste banco (em aberto),carro usado,4811,n/há,< 7 anos,2,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,24,loja,aluguel,1,empregado-semformacao-residente,1,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),radio ou televisao,727,>= 100 < 500 $,< 1 ano,4,masc-casadoouviuvo,n/há,3,n/há,33,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,2
>= 0 < 200 $,8,pgto em dia neste banco (em aberto),moveis e equipamentos,1237,< 100 $,< 4 anos,3,femi-divorciadaoucasada,n/há,4,imovel,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),carro novo,276,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,4,imovel,22,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,48,pgto em dia neste banco (em aberto),outros,5381,n/há,desempregado,3,masc-solteiro,n/há,4,n/há,40,banco,gratuita,1,desempregado-semformacao-naoresidente,1,sim,sim,1
n/há,24,pgto em dia neste banco (em aberto),moveis e equipamentos,5511,>= 100 < 500 $,< 4 anos,4,masc-solteiro,n/há,1,carro ou outros-quitado,25,loja,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,24,pgto em dia neste banco (em aberto),moveis e equipamentos,3749,< 100 $,< 1 ano,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,26,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),carro novo,685,< 100 $,< 7 anos,2,masc-casadoouviuvo,n/há,3,carro ou outros-quitado,25,banco,própria,1,empregado-semformacao-residente,1,não,sim,2
>= 200 $,4,pgto em dia neste banco (em aberto),carro novo,1494,n/há,< 1 ano,1,masc-solteiro,n/há,2,imovel,29,n/há,própria,1,empregado-semformacao-residente,2,não,não,1
< 0 $,36,pgto em dia neste banco (quitado),moveis e equipamentos,2746,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,31,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,708,< 100 $,< 4 anos,2,masc-solteiro,garantidor,3,poupança ou seguro de vida,38,n/há,própria,1,empregado-semformacao-residente,2,não,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),moveis e equipamentos,4351,n/há,< 4 anos,1,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,48,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,1
n/há,12,conta critica / dividas com terceiros,educacao,701,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,32,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,15,pgto em atraso no passado,moveis e equipamentos,3643,< 100 $,>= 7 anos,1,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,27,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,30,conta critica / dividas com terceiros,carro novo,4249,< 100 $,desempregado,4,masc-casadoouviuvo,n/há,2,carro ou outros-quitado,28,n/há,própria,2,empresario-gerente-altaqualificacao,1,não,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),radio ou televisao,1938,< 100 $,< 1 ano,4,masc-divorciado,n/há,3,poupança ou seguro de vida,32,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),carro usado,2910,< 100 $,< 7 anos,2,masc-solteiro,n/há,1,n/há,34,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),moveis e equipamentos,2659,>= 1000 $,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,28,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,conta critica / dividas com terceiros,carro novo,1028,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,3,imovel,36,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,8,conta critica / dividas com terceiros,carro novo,3398,< 100 $,< 7 anos,1,masc-solteiro,n/há,4,imovel,39,n/há,própria,2,empregado-semformacao-residente,1,não,não,1
n/há,12,conta critica / dividas com terceiros,moveis e equipamentos,5801,n/há,>= 7 anos,2,masc-solteiro,n/há,4,poupança ou seguro de vida,49,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,24,pgto em dia neste banco (em aberto),carro novo,1525,>= 1000 $,< 7 anos,4,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,34,n/há,própria,1,empregado-formadoouservidorpublico,2,sim,sim,1
>= 200 $,36,pgto em dia neste banco (em aberto),radio ou televisao,4473,< 100 $,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,31,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,6,pgto em dia neste banco (em aberto),radio ou televisao,1068,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,28,n/há,própria,1,empregado-formadoouservidorpublico,2,não,sim,1
< 0 $,24,conta critica / dividas com terceiros,carro usado,6615,< 100 $,desempregado,2,masc-solteiro,n/há,4,n/há,75,n/há,gratuita,2,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,18,conta critica / dividas com terceiros,educacao,1864,>= 100 < 500 $,< 4 anos,4,femi-divorciadaoucasada,n/há,2,imovel,30,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,60,pgto em dia neste banco (em aberto),carro novo,7408,>= 100 < 500 $,< 1 ano,4,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,24,n/há,própria,1,empresario-gerente-altaqualificacao,1,não,sim,2
n/há,48,conta critica / dividas com terceiros,carro usado,11590,>= 100 < 500 $,< 4 anos,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,24,banco,aluguel,2,empregado-semformacao-residente,1,não,sim,2
< 0 $,24,nenhum/pgto em dia,moveis e equipamentos,4110,< 100 $,>= 7 anos,3,masc-solteiro,n/há,4,n/há,23,banco,aluguel,2,empregado-formadoouservidorpublico,2,não,sim,2
< 0 $,6,conta critica / dividas com terceiros,moveis e equipamentos,3384,< 100 $,< 4 anos,1,masc-divorciado,n/há,4,imovel,44,n/há,aluguel,1,empresario-gerente-altaqualificacao,1,sim,sim,2
>= 0 < 200 $,13,pgto em dia neste banco (em aberto),radio ou televisao,2101,< 100 $,< 1 ano,2,femi-divorciadaoucasada,garantidor,4,poupança ou seguro de vida,23,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
< 0 $,15,pgto em dia neste banco (em aberto),eletrodomesticos,1275,n/há,< 4 anos,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,24,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),moveis e equipamentos,4169,< 100 $,< 4 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,28,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,10,pgto em dia neste banco (em aberto),moveis e equipamentos,1521,< 100 $,< 4 anos,4,masc-divorciado,n/há,2,carro ou outros-quitado,31,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,24,conta critica / dividas com terceiros,educacao,5743,< 100 $,< 1 ano,2,femi-divorciadaoucasada,n/há,4,n/há,24,n/há,gratuita,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,21,pgto em dia neste banco (em aberto),moveis e equipamentos,3599,< 100 $,< 7 anos,1,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,26,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),radio ou televisao,3213,>= 500 < 1000 $,< 1 ano,1,masc-casadoouviuvo,n/há,3,imovel,25,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),negocios,4439,< 100 $,>= 7 anos,1,masc-solteiro,codevedor,1,imovel,33,banco,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 200 $,10,pgto em dia neste banco (em aberto),carro novo,3949,< 100 $,< 1 ano,1,masc-solteiro,garantidor,1,poupança ou seguro de vida,37,n/há,própria,1,empregado-semformacao-residente,2,não,sim,1
n/há,15,conta critica / dividas com terceiros,radio ou televisao,1459,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,43,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,13,conta critica / dividas com terceiros,radio ou televisao,882,< 100 $,< 1 ano,4,masc-solteiro,garantidor,4,imovel,23,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),radio ou televisao,3758,>= 500 < 1000 $,desempregado,1,femi-divorciadaoucasada,n/há,4,n/há,23,n/há,aluguel,1,desempregado-semformacao-naoresidente,1,não,sim,1
n/há,6,pgto em atraso no passado,negocios,1743,>= 100 < 500 $,< 4 anos,1,masc-solteiro,n/há,2,imovel,34,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,9,conta critica / dividas com terceiros,educacao,1136,>= 1000 $,>= 7 anos,4,masc-solteiro,n/há,3,n/há,32,n/há,gratuita,2,empregado-formadoouservidorpublico,2,não,sim,2
n/há,9,pgto em dia neste banco (em aberto),eletrodomesticos,1236,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,4,imovel,23,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),moveis e equipamentos,959,< 100 $,< 4 anos,1,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,29,n/há,própria,1,empregado-formadoouservidorpublico,1,não,não,2
n/há,18,conta critica / dividas com terceiros,carro usado,3229,n/há,desempregado,2,masc-solteiro,n/há,4,n/há,38,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,12,nenhum/pgto em dia,radio ou televisao,6199,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,28,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,10,pgto em dia neste banco (em aberto),educacao,727,>= 500 < 1000 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,46,n/há,gratuita,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),carro novo,1246,< 100 $,< 1 ano,4,masc-solteiro,n/há,2,imovel,23,loja,própria,1,empregado-semformacao-residente,1,não,sim,2
n/há,12,conta critica / dividas com terceiros,radio ou televisao,2331,n/há,>= 7 anos,1,masc-solteiro,codevedor,4,imovel,49,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,36,pgto em atraso no passado,radio ou televisao,4463,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,26,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,12,pgto em dia neste banco (em aberto),radio ou televisao,776,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,2,imovel,28,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,30,pgto em dia neste banco (em aberto),moveis e equipamentos,2406,< 100 $,< 7 anos,4,femi-divorciadaoucasada,n/há,4,imovel,23,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),educacao,1239,n/há,< 4 anos,4,masc-solteiro,n/há,4,n/há,61,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,3399,n/há,>= 7 anos,2,masc-solteiro,n/há,3,carro ou outros-quitado,37,n/há,própria,1,empresario-gerente-altaqualificacao,1,não,sim,1
>= 200 $,12,pgto em atraso no passado,carro novo,2247,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,36,loja,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,6,pgto em dia neste banco (em aberto),moveis e equipamentos,1766,< 100 $,< 4 anos,1,masc-casadoouviuvo,n/há,2,poupança ou seguro de vida,21,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),moveis e equipamentos,2473,< 100 $,desempregado,4,masc-solteiro,n/há,1,carro ou outros-quitado,25,n/há,própria,1,desempregado-semformacao-naoresidente,1,não,sim,2
n/há,12,pgto em dia neste banco (em aberto),negocios,1542,< 100 $,< 7 anos,2,masc-solteiro,n/há,4,carro ou outros-quitado,36,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,18,conta critica / dividas com terceiros,carro usado,3850,< 100 $,< 7 anos,3,masc-solteiro,n/há,1,carro ou outros-quitado,27,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),moveis e equipamentos,3650,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,22,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,36,pgto em dia neste banco (em aberto),moveis e equipamentos,3446,< 100 $,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,42,n/há,própria,1,empregado-formadoouservidorpublico,2,não,sim,2
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),moveis e equipamentos,3001,< 100 $,< 7 anos,2,femi-divorciadaoucasada,n/há,4,imovel,40,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,36,pgto em dia neste banco (em aberto),carro novo,3079,n/há,< 4 anos,4,masc-solteiro,n/há,4,imovel,36,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,conta critica / dividas com terceiros,radio ou televisao,6070,< 100 $,>= 7 anos,3,masc-solteiro,n/há,4,carro ou outros-quitado,33,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,10,conta critica / dividas com terceiros,moveis e equipamentos,2146,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,3,imovel,23,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,60,conta critica / dividas com terceiros,carro novo,13756,n/há,>= 7 anos,2,masc-solteiro,n/há,4,n/há,63,banco,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,60,pgto em dia neste banco (quitado),outros,14782,>= 100 < 500 $,>= 7 anos,3,femi-divorciadaoucasada,n/há,4,n/há,60,banco,gratuita,2,empresario-gerente-altaqualificacao,1,sim,sim,2
< 0 $,48,pgto em dia neste banco (quitado),negocios,7685,< 100 $,< 7 anos,2,femi-divorciadaoucasada,garantidor,4,carro ou outros-quitado,37,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,18,pgto em atraso no passado,radio ou televisao,2320,< 100 $,desempregado,2,masc-casadoouviuvo,n/há,3,imovel,34,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,7,pgto em atraso no passado,radio ou televisao,846,n/há,>= 7 anos,3,masc-solteiro,n/há,4,n/há,36,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,36,pgto em dia neste banco (em aberto),carro novo,14318,< 100 $,>= 7 anos,4,masc-solteiro,n/há,2,n/há,57,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,6,conta critica / dividas com terceiros,carro novo,362,>= 100 < 500 $,< 4 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,52,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
< 0 $,20,pgto em dia neste banco (em aberto),moveis e equipamentos,2212,n/há,< 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,39,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),carro usado,12976,< 100 $,desempregado,3,femi-divorciadaoucasada,n/há,4,n/há,38,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,2
